property_type,society,sector,priceCr,area,bedRoom,bathroom,balcony,study room,servant room,floorNum,agePossession,furnishing_type,luxury_category,UserID,PricePerSquare,Rent,floor_category
flat,dlf the icon,sector 43,6.76,2570,4,4,3,0,1,9,Old Property,unfurnished,Medium,1,26.3,135.2,Mid Floor
flat,mapsko mount ville,sector 79,1.68,1176,3,3,3,0,0,19,Relatively New,semifurnished,Medium,1,14.29,33.6,High Floor
flat,signature global city 63a,sector 63a,1.8,1372,2,2,2,0,0,3,Under Construction,unfurnished,Low,1,13.12,36,Mid Floor
house,independent,sector 6,1.61,120,2,5,1,0,0,2,New Property,unfurnished,Low,1,134.17,32.2,Low Floor
flat,sobha city,sector 108,4.18,2072,3,3,3,0,0,12,Relatively New,unfurnished,Medium,1,20.17,83.6,High Floor
flat,signature global city 92,sector 92,1.28,1091,3,2,3,0,0,1,Under Construction,unfurnished,Low,1,11.73,25.6,Low Floor
flat,godrej aria,sector 79,1.68,1223,2,4,2,0,0,3,Relatively New,unfurnished,Medium,1,13.74,33.6,Mid Floor
house,independent,sector 46,7.09,2385,8,8,3+,1,0,3,Moderately Old,semifurnished,Low,1,29.73,141.8,Mid Floor
house,independent,sector 17,9.28,4494,4,4,2,0,1,1,Old Property,unfurnished,Low,1,20.65,185.6,Low Floor
flat,dlf regal gardens,sector 90,2.12,2214,4,4,3+,0,0,15,Relatively New,unfurnished,High,1,9.58,42.4,High Floor
flat,piedmont taksila heights,sector 37,1.16,1537,3,3,3,0,0,9,Moderately Old,semifurnished,Medium,1,7.55,23.2,Mid Floor
flat,sobha city,sector 108,2.45,1250,2,2,2,0,0,8,Relatively New,unfurnished,Medium,1,19.6,49,Mid Floor
house,independent,sector 23,7.09,4200,9,9,3+,0,1,3,Moderately Old,semifurnished,Low,1,16.88,141.8,Mid Floor
flat,dlf regal gardens,sector 90,1.61,1640,3,3,3,0,0,8,Relatively New,unfurnished,High,1,9.82,32.2,Mid Floor
house,independent,sector 6,0.97,713,2,4,1,0,0,3,Moderately Old,unfurnished,Medium,1,13.6,19.4,Mid Floor
flat,ambience creacions,sector 22,4.13,2517,3,4,3+,0,0,2,New Property,unfurnished,Low,1,16.41,82.6,Low Floor
flat,m3m woodshire,sector 107,2.31,1837,3,4,3+,0,1,2,Relatively New,unfurnished,Medium,1,12.57,46.2,Low Floor
flat,ireo the corridors,sector 67a,2.31,1551,3,3,2,1,0,3,New Property,semifurnished,High,1,14.89,46.2,Mid Floor
house,independent,sector 82,9.02,3240,4,4,3+,1,1,1,Relatively New,semifurnished,Low,1,27.84,180.4,Low Floor
flat,signature global solera 2,sector 107,0.64,622,2,2,2,0,0,13,New Property,unfurnished,Low,1,10.29,12.8,High Floor
flat,dlf the primus,sector 82a,4.5,2896,5,5,3+,1,0,14,Relatively New,furnished,Low,1,15.54,90,High Floor
house,ansals palam vihar,sector 2,6.44,4000,6,4,0,0,0,3,Undefined,unfurnished,Low,1,16.1,128.8,Mid Floor
flat,tulip white,sector 69,1.17,1473,3,2,2,0,0,12,Moderately Old,unfurnished,Low,1,7.94,23.4,High Floor
house,ansals palam vihar,sector 2,5.15,2400,4,4,3+,0,1,2,Moderately Old,unfurnished,Low,1,21.46,103,Low Floor
flat,emaar mgf the palm drive,sector 66,3.67,1950,3,3,3,1,0,11,Relatively New,semifurnished,Medium,1,18.82,73.4,High Floor
flat,signature global synera,sector 81,0.64,704,2,2,1,0,0,11,New Property,furnished,Medium,1,9.09,12.8,High Floor
flat,emaar palm heights,sector 77,2.7,1833,3,3,3,1,1,17,New Property,unfurnished,Low,1,14.73,54,High Floor
house,independent,sector 7,2.58,1800,2,2,1,0,0,2,Relatively New,unfurnished,Low,1,14.33,51.6,Low Floor
flat,m3m golfestate,sector 65,7.92,4271,3,5,3+,0,1,1,Relatively New,furnished,Low,1,18.54,158.4,Low Floor
flat,antriksh heights,sector 84,1.19,1652,3,3,3,1,0,2,Relatively New,unfurnished,Medium,1,7.2,23.8,Low Floor
house,independent,sector 28,1.87,1800,3,2,1,0,0,1,Relatively New,unfurnished,Low,1,10.39,37.4,Low Floor
flat,bestech park view residency,sector 2,2,1738,3,4,3+,0,1,10,Moderately Old,unfurnished,Medium,1,11.51,40,Mid Floor
flat,indiabulls centrum park,sector 103,3.04,2729,4,6,3+,0,1,8,Relatively New,semifurnished,High,1,11.14,60.8,Mid Floor
flat,hero homes,sector 104,1.55,877,2,2,2,0,0,22,Under Construction,unfurnished,Low,1,17.67,31,High Floor
flat,sare crescent parc,sector 92,0.64,905,2,2,3,0,0,2,Moderately Old,unfurnished,Low,1,7.07,12.8,Low Floor
flat,indiabulls enigma,sector 110,4.18,3077,4,4,3,0,1,11,Relatively New,unfurnished,Medium,1,13.58,83.6,High Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.74,828,2,2,2,0,0,10,Under Construction,unfurnished,Low,1,21.01,34.8,Mid Floor
flat,emaar mgf emerald floors premier,sector 65,3.03,1650,3,3,2,1,1,4,Relatively New,unfurnished,High,1,18.36,60.6,Mid Floor
flat,apex our homes,sector 37,0.49,925,2,2,1,0,0,9,Relatively New,unfurnished,Medium,1,5.3,9.8,Mid Floor
flat,mariners home,sector 56,2.71,2250,3,2,3,0,0,4,Relatively New,semifurnished,Medium,1,12.04,54.2,Mid Floor
flat,m3m skywalk,sector 74,1.9,1300,2,2,3,0,0,13,Relatively New,unfurnished,High,1,14.62,38,High Floor
house,dlf city plots,sector 26,21.9,4518,5,6,3,0,1,2,Old Property,semifurnished,Medium,1,48.47,438,Low Floor
flat,signature global infinity mall,sector 36,0.52,654,2,2,3,0,0,3,Undefined,unfurnished,Low,1,7.95,10.4,Mid Floor
flat,ss the leaf,sector 85,2.64,2500,4,4,3+,0,1,4,Relatively New,semifurnished,Low,1,10.56,52.8,Mid Floor
flat,ats tourmaline,sector 109,3.8,2851,4,5,3+,0,1,10,Relatively New,unfurnished,Medium,1,13.33,76,Mid Floor
flat,signature global park,sohna road,0.68,913,2,2,2,0,0,2,Relatively New,unfurnished,High,1,7.45,13.6,Low Floor
house,independent,sector 7,3.14,345,4,4,2,1,0,3,Old Property,unfurnished,Low,1,91.01,62.8,Mid Floor
flat,sare crescent parc royal greens phase 1,sector 92,1.22,1717,4,5,3+,0,1,4,Moderately Old,unfurnished,Low,1,7.11,24.4,Mid Floor
house,vipul tatvam villa,sector 48,9.34,3240,4,4,3,1,1,2,Relatively New,semifurnished,Medium,1,28.83,186.8,Low Floor
flat,vatika gurgaon,sector 83,1.53,1778,3,3,2,0,1,10,Relatively New,semifurnished,Low,1,8.61,30.6,Mid Floor
flat,raheja vanya,sector 99,0.76,1133,2,2,3,0,0,1,Under Construction,unfurnished,Medium,1,6.71,15.2,Low Floor
flat,lotus homz,sector 111,0.78,789,2,2,3,0,0,9,New Property,unfurnished,Medium,1,9.89,15.6,Mid Floor
flat,smart world orchard,sector 61,1.81,1150,2,2,2,1,0,2,Under Construction,unfurnished,Medium,1,15.74,36.2,Low Floor
flat,parsvnath green ville,sector 48,2.26,2200,3,3,3,0,1,7,Old Property,semifurnished,Medium,1,10.27,45.2,Mid Floor
house,emaar mgf marbella,sector 66,19.45,8067.8,5,5,3+,1,1,3,New Property,unfurnished,Medium,1,24.11,389,Mid Floor
flat,gls arawali homes,sohna road,0.46,528,2,2,2,0,0,11,Relatively New,unfurnished,Medium,1,8.71,9.2,High Floor
flat,kamroon court,sector 43,3.55,2222,3,4,3+,0,1,5,Moderately Old,semifurnished,Low,1,15.98,71,Mid Floor
house,independent,sector 47,6.76,4650,9,9,3+,0,1,4,Relatively New,semifurnished,Medium,1,14.54,135.2,Mid Floor
flat,supertech hues,sector 68,1.29,1311,2,2,3,0,0,23,New Property,unfurnished,Low,1,9.84,25.8,High Floor
flat,chd avenue,sector 71,1.22,1084,2,2,2,0,0,5,Moderately Old,semifurnished,Medium,1,11.25,24.4,Mid Floor
flat,the nav manesar apartment,sector 1,1.09,1946,3,3,3+,0,1,5,Moderately Old,unfurnished,Low,1,5.6,21.8,Mid Floor
flat,suncity heights,sector 54,4.18,2558,3,3,3+,0,0,0,Old Property,semifurnished,Medium,1,16.34,83.6,Low Floor
flat,vatika gurgaon,sector 83,1.61,1792,3,3,2,0,1,2,Relatively New,unfurnished,Medium,1,8.98,32.2,Low Floor
house,independent,sector 28,10.82,2430,4,4,3+,0,1,2,Relatively New,semifurnished,Medium,1,44.53,216.4,Low Floor
house,not applicable,sector 4,1.03,146,5,4,3,0,0,3,Under Construction,unfurnished,Low,1,70.55,20.6,Mid Floor
flat,m3m the marina,sector 68,1.29,889,2,2,3,0,0,21,Relatively New,unfurnished,Low,1,14.51,25.8,High Floor
flat,puri diplomatic greens,sector 111,4.38,2670,4,5,3+,0,1,14,Relatively New,semifurnished,Medium,1,16.4,87.6,High Floor
flat,satya the hermitage,sector 103,1.2,1613,2,3,3,0,1,3,Relatively New,semifurnished,Medium,1,7.44,24,Mid Floor
house,bptp astaire gardens,sector 70a,1.52,1611,3,3,3+,0,0,2,Relatively New,semifurnished,High,1,9.44,30.4,Low Floor
flat,pioneer araya,sector 62,13.85,4990,5,7,3,0,1,10,Relatively New,semifurnished,High,1,27.76,277,Mid Floor
flat,professors enclave cghs,sector 56,2,1810,3,3,3+,0,1,6,Moderately Old,semifurnished,Low,1,11.05,40,Mid Floor
flat,sidhartha ncr one phase,sector 95,1.16,2000,3,3,1,0,0,15,Relatively New,unfurnished,Medium,1,5.8,23.2,High Floor
flat,dlf the ultima,sector 81,3.16,1800,3,3,2,0,1,9,Relatively New,semifurnished,High,1,17.56,63.2,Mid Floor
flat,pareena mi casa,sector 68,1.19,1127,2,2,3,0,0,5,Under Construction,unfurnished,Medium,1,10.56,23.8,Mid Floor
flat,tulip violet,sector 69,1.8,1376,3,3,1,0,0,12,Relatively New,unfurnished,High,1,13.08,36,High Floor
flat,prime habitat,sector 99,0.35,498,2,2,1,0,0,10,Relatively New,unfurnished,Medium,1,7.03,7,Mid Floor
flat,tulip ivory,sector 70,2.58,2114,4,5,3+,0,1,6,Moderately Old,semifurnished,Medium,1,12.2,51.6,Mid Floor
flat,pyramid pride,sector 76,0.64,844,2,2,1,0,0,8,Under Construction,unfurnished,Medium,1,7.58,12.8,Mid Floor
flat,zara aavaas,sector 104,0.26,301,1,1,1,0,0,3,Undefined,unfurnished,Medium,1,8.64,5.2,Mid Floor
flat,godrej meridien,sector 106,4.13,2224,3,3,3+,0,1,6,Under Construction,unfurnished,Low,1,18.57,82.6,Mid Floor
flat,shree vardhman victoria,sector 70,2.1,1527,3,5,3,0,1,12,Relatively New,unfurnished,Low,1,13.75,42,High Floor
flat,ireo the corridors,sector 67a,2.58,1346,3,3,2,0,0,6,Under Construction,unfurnished,Low,1,19.17,51.6,Mid Floor
flat,godrej,sector 79,1.66,1423,2,2,3,0,0,4,New Property,unfurnished,Low,1,11.67,33.2,Mid Floor
flat,"godrej 101, sector 79",sector 79,1.61,1383,2,2,3,0,0,1,Undefined,unfurnished,Low,1,11.64,32.2,Low Floor
house,indiabulls centrum park,sector 103,4.18,4000,4,3,3+,0,0,20,Under Construction,unfurnished,Medium,1,10.45,83.6,High Floor
